Id_index,Job_Title,company,Sector,region,technologies,skills,certifications,soft_skills,languages,experience_years,Type_Contrat,level_study,Tasks,source
232,Data Analyst,salafin,Financial Services,Casablanca-Settat,"Excel, SQL, Python, R","Excel, SQL, Python, R",,"Communication, Analytical skills, Problem solving",English,0 ans,CDI,Bac +5,"Collecter, structurer et analyser les données relatives aux portefeuilles de crédit, Contribuer à l’élaboration et à l’automatisation des rapports de suivi des indicateurs de risques, Identifier et interpréter les tendances et les anomalies dans les données pour détecter les risques potentiels, Soutenir l’équipe dans la mise en place de modèles statistiques et de scoring pour évaluer la qualité du crédit, Collaborer avec les équipes IT et les autres départements pour améliorer la qualité et la précision des données, Participer aux projets d’amélioration continue en proposant des solutions basées sur l’analyse des données.",linkedin
233,Data Analyst,salafin,Financial Services,Casablanca-Settat,"Excel, SQL, Python, R, Power BI","Excel, SQL, Python, R, Data visualization (e.g., Power BI)",,"Communication, Interpersonal skills, Teamwork, Collaboration",Not Specified,0 ans,NOT SPECIFIED,Not Specified,"collect credit portfolio data, structure credit portfolio data, analyze credit portfolio data, automate risk indicator reports, identify trends or anomalies in data, detect potential risks, develop statistical models, develop scoring models, assess credit quality, collaborate with IT department, collaborate with other departments, enhance data accuracy, propose data-driven solutions for continuous improvement.",Glassdoor
234,Data Analyst,deloitte,Consulting,Casablanca-Settat,"Python, Numpy, Pandas, PowerBI, Tableau, Qlik, SQL, MySQL, PostgreSql, SQL Server, Cloudera, Spark, Hive, Pyspark, Impala, Dataiku, Knime, IBM SPSS","Python, Numpy, Pandas, PowerBI, Tableau, Qlik, SQL, MySQL, PostgreSql, SQL Server, Cloudera, Spark, Hive, Pyspark, Impala, Dataiku, Knime, IBM SPSS",,"Communication, Analytical, Prioritization","French, English",Not Specified,NOT SPECIFIED,Bac +5,"Audit et Control Analytics, Data Preparation, Data Analytics, Data Visualisation, Data Modeling, Data Architecture, Data Science",linkedin
235,Data Analyst,smollan north africa,Packaging,Not specified,"Python, VBA","Python, VBA",,"Communication, Organisation",French,0 ans,NOT SPECIFIED,Not Specified,"Analyse des données, Résolution de problèmes, Planification et organisation, Suivi des instructions et procédures, Compétences en communication, Rédaction de rapports, Compétences en présentation, Capacité à effectuer des recherches.",linkedin
236,Data Analyst,smollan north africa,Packaging,Not specified,"Python, VBA","Python, VBA",,"Problem solving, Communication, Autonomy, Organization",French,Not Specified,NOT SPECIFIED,Not Specified,"Développer des modèles, analyser des données, actionner et structures administratives, expérience UI, résolution de problèmes, planification et organisation, capacité à suivre des instructions et des procédures, capacité à faire des recherches.",indeed
237,Data Analyst,smollan north africa,Packaging,Casablanca-Settat,"Python, VBA","Python, VBA",,"Communication, Teamwork, Collaboration",Not Specified,0 ans,STAGE,Not Specified,"Analyse de données, Rédaction de rapports, Résolution de problèmes, Planification et organisation, Suivi des instructions et des procédures, Gestion de la pression, Compétences en présentation, Réalisation de recherches.",Option Carriere
238,Data Analyst,confidential,Consulting,Marrakech-Safi,"Excel, Tableau, Power BI, Microsoft Excel","Excel, Tableau, Power BI, English, data analysis, statistical analysis, data visualization, teamwork, communication, analytical skills, problem-solving skills, organizational skills, Microsoft Excel",,"Communication, Problem solving",English,0 ans,STAGE,Not Specified,"Collect data from various sources, clean data, analyze data, Assist in the development of data models and statistical analysis, Collaborate with cross-functional teams to gather and analyze data, Create data visualizations and dashboards, Present findings and insights, Participate in brainstorming sessions, Support the team with general administrative tasks.",google
239,Data Analyst,digital virgo,Technology and IT Services,Casablanca-Settat,"Excel, SQL, Python, Tableau, Looker","Excel, SQL, Python, Tableau, Looker",,"Aisance relationnelle, Sens du collectif, Intelligence émotionnelle, Empathie","French, English",0 ans,STAGE,Bac +5,"Collecte et traitement des données, Analyse des données, Visualisation et reporting, Aide à la prise de décision",Option Carriere
240,Data Analyst,,,Casablanca-Settat,"Excel, Power BI, Tableau, SQL","Excel, Power BI, Tableau, SQL, gestion de la supply chain",,"Communication, Flexibility, Analysis, Problem solving, Planning, Organising, Presentation skills","English, French",5 ans,CDI,Bac +5,"Analyser et optimiser les flux logistiques pour améliorer l’efficacité opérationnelle, Concevoir et mettre en place des outils d’analyse de données pour le suivi des performances logistiques, Piloter et coordonner des projets logistiques de A à Z, Assurer le respect des délais, des budgets et des objectifs qualité, Collaborer avec les équipes opérationnelles pour identifier les axes d’amélioration, Développer des tableaux de bord et des rapports pour faciliter la prise de décision stratégique, Participer à des projets d’innovation pour moderniser nos processus logistiques.",indeed
241,Business Analyst,renault group,Automotive,Not specified,Not Specified,Not Specified,,"Communication, Flexibility, Analysis, Problem solving, Planning, Organising, Presentation skills","English, French",Not Specified,STAGE,Not Specified,Not Specified,Option Carriere
242,Data Analyst,pfizer inc,Healthcare,Not specified,Not Specified,Not Specified,,"Communication, Flexibility, Analysis, Problem solving, Planning, Organising, Presentation","English, French",3 ans,NOT SPECIFIED,Bac +5,"Coordination of MD & DI specific activities, Drive improvement initiatives related to MD & DI processes, Support governance over Master Data planning aspects, Coordinate and support AMP planners in MD & DI activities, Develop metrics, reports and materials related to MD & DI processes, Proactively maintain and track MD parameters, Spot potential MD issues and highlight to key stakeholders, Support assessment and investigation of Master data and data integrity impacts, Plans and initiates change controls relating to master data and data integrity, Execute improvement initiatives and track completion, Identify initiatives to improve master data processes and governance, Document key master data processes and flows, Train AMP Hub & Markets colleagues in key master data and data integrity activities, Contribute to reporting requirements for master data specific and develop tools, reports and analytics for metrics development, Support further digitization of Master Data, Provide data insights through reports and analysis.",google
243,Data Analyst,alten,Technology and IT Services,Tanger-Tétouan-Al Hoceima,Not Specified,Not Specified,,"Teamwork, Communication, Problem solving, Organizational skills",English,1 an,CDI,Bac +5,"Garantir la confirmation de la capacité de transport appropriée de la part du transporteur attribué à moyen terme (mois M+2 - M+4), Animer et diriger le dialogue sur la capacité de transport entre SP, la conception du réseau et les achats pour couvrir les besoins à moyen terme, Animer la collecte de données KPI ; surveiller et remettre en question les résultats de performance mensuels sur le mois M-1 par usine et par marché, Analyser le coût en €/véhicule selon des clusters définis, Animer avec le leader des opérations la création, l'analyse, la mise en œuvre des idées de productivité et le suivi des économies, Réaliser des synthèses de présentation pour mettre en évidence les principaux écarts et opportunités, Garantir la mise en œuvre des processus et la disponibilité de la capacité de transport pour les nouveaux lancements.",Option Carriere
244,Data Analyst,alten,Technology and IT Services,Tanger-Tétouan-Al Hoceima,Not Specified,Not Specified,,"Communication, Teamwork, Proactivity, Initiative, Listening, Analysis, Critical thinking, Autonomy, Organization","English, French",Not Specified,NOT SPECIFIED,Bac +5,Not Specified,Jobrapido
245,Business Analyst,kohler co.,Food and Beverage,Tanger-Tétouan-Al Hoceima,"Excel, Python, SQL, VBA","Excel, Python, SQL, VBA",,"Problem solving, Teamwork, Leadership",Not Specified,Not Specified,NOT SPECIFIED,Bac +5,"Accompagner le Channel digital dans la mise en œuvre de sa stratégie prix, soutenir les filiales dans leur stratégie pricing, analyser les marges, prix et remises par pays et clients, proposer des plans d’action, accompagner les catégories dans le positionnement prix des nouveautés, identifier les produits mal positionnés, participer à l’élaboration du Plan stratégique, développer et mettre en œuvre des outils liés à la définition et à l’application de la politique Pricing Europe, analyser les remises pratiquées, les marges et les coûts par pays, assurer la mise en place de la politique Pricing dans le système d’information, contribuer à l’amélioration continue des processus existants, participer à la mise en place et à l’optimisation des outils Pricing, gérer la Pricing Helpdesk.",indeed
246,Business Analyst,garena,Technology and IT Services,Casablanca-Settat,Not Specified,Not Specified,,"Problem solving, Teamwork, Leadership",Not Specified,Not Specified,NOT SPECIFIED,Bac +3,"Évaluer, planifier et mettre en œuvre un pipeline d'événements stratégiques en jeu pour augmenter la rétention et le pool d'utilisateurs actifs, travailler avec d'autres parties prenantes pour aligner la planification stratégique des événements, gérer les opérations de produit en direct de la configuration du produit en direct, y compris la réalisation de processus d'assurance qualité pour tester la fonctionnalité du produit et signaler les bugs, mener des processus d'assurance qualité sur les événements en jeu et les nouvelles fonctionnalités/constructions, traiter les demandes de localisation ad hoc en arabe et en français, analyser le comportement des utilisateurs et le traduire en améliorations de produit qui améliorent le gameplay, les fonctionnalités et l'expérience globale de l'utilisateur.",google
